Woodrow Wilson,3-4-1913,3-4-1921
Warren G. Harding,3-4-1921,8-2-1923
Calvin Coolidge,8-2-1923,3-4-1929
Herbert Hoover,3-4-1929,3-4-1933
Franklin D. Roosevelt,3-4-1933,4-12-1945
Harry S. Truman,4-12-1945,1-20-1953
Dwight D. Eisenhower,1-20-1953,1-20-1961
John F. Kennedy,1-20-1961,11-22-1963
Lyndon B. Johnson,11-22-1963,1-20-1969
Richard Nixon,1-20-1969,8-9-1974
Gerald Ford,8-9-1974,1-20-1977
Jimmy Carter,1-20-1977,1-20-1981
Ronald Reagan,1-20-1981,1-20-1989
George H. W. Bush,1-20-1989,1-20-1993
Bill Clinton,1-20-1993,1-20-2001
George W. Bush,1-20-2001,1-20-2009
Barack Obama,1-20-2009,1-20-2017
Donald Trump,1-20-2017,1-20-2021
Joe Biden,1-20-2021,1-31-2024
